web-scraper-order,web-scraper-start-url,product_name,price,product_discount
"1705465253-43","https://www.klikindomaret.com/category/Makanan-Instan","Bestwok Mi Goreng Blackpepper Seafood 80g","Rp 4.200",""
"1705465253-44","https://www.klikindomaret.com/category/Makanan-Instan","Bestwok Mi Goreng Hot & Spicy 80g","Rp 4.200",""
"1705465253-45","https://www.klikindomaret.com/category/Makanan-Instan","Bestwok Mi Goreng Original 85g","Rp 4.200",""
"1705465253-46","https://www.klikindomaret.com/category/Makanan-Instan","Bihun Jagung Bihun Cap Tanam Jagung 320G","Rp 11.500",""
"1705465253-47","https://www.klikindomaret.com/category/Makanan-Instan","Bihunku Bihun Goreng Special Pedas 60G","Rp 4.000",""
"1705465253-48","https://www.klikindomaret.com/category/Makanan-Instan","Bihunku Bihun Instant Ayam Bawang 55G","Rp 3.500",""
"1705465253-49","https://www.klikindomaret.com/category/Makanan-Instan","Bihunku Bihun Instant Korean Series Spicy Kimchi 55G","Rp 5.500",""
"1705465253-50","https://www.klikindomaret.com/category/Makanan-Instan","Bihunku Bihun Instant Soto Spesial 55G","Rp 3.500",""
"1705465253-51","https://www.klikindomaret.com/category/Makanan-Instan","Bihunku,Bihun Instant Korean Series Japchae 55G","Rp 5.500",""
"1705465253-52","https://www.klikindomaret.com/category/Makanan-Instan","Bihunku Bihun Instant Kari Laksa Pck 55G","Rp 4.000",""
"1705465253-53","https://www.klikindomaret.com/category/Makanan-Instan","Biondi Angel Hair No.9 500G","Rp 16.500",""
"1705465253-54","https://www.klikindomaret.com/category/Makanan-Instan","Biondi Macaroni No.38 500G","Rp 15.400",""
"1705465253-55","https://www.klikindomaret.com/category/Makanan-Instan","Biondi Penne Rigate No.18 500G","Rp 15.400",""
"1705465253-56","https://www.klikindomaret.com/category/Makanan-Instan","Biondi Spiral No.16 500G","Rp 16.500",""
"1705465253-57","https://www.klikindomaret.com/category/Makanan-Instan","Burung Dara Mie Kering Pipih 140G","Rp 4.000",""
"1705465253-58","https://www.klikindomaret.com/category/Makanan-Instan","Burung Dara Mie Telur Urai Original 140G","Rp 5.600",""
"1705465253-59","https://www.klikindomaret.com/category/Makanan-Instan","Burung Dara Mie Telur Urai Pipih 140G","Rp 5.600",""
"1705465253-60","https://www.klikindomaret.com/category/Makanan-Instan","Green Valley Macaroni & Cheese 200G","Rp 29.000",""
"1705465253-61","https://www.klikindomaret.com/category/Makanan-Instan","Green Valley Macaroni & Cheese Alfredo 200G","Rp 33.300",""
"1705465253-62","https://www.klikindomaret.com/category/Makanan-Instan","Green Valley Macaroni & Cheese Chilli 200G","Rp 33.300",""
"1705465253-63","https://www.klikindomaret.com/category/Makanan-Instan","Home Vermicelli Soun Longkou 100G","Rp 3.800",""
"1705465253-64","https://www.klikindomaret.com/category/Makanan-Instan","Home Vermicelli Soun Longkou 250G","Rp 8.100",""
"1705465253-65","https://www.klikindomaret.com/category/Makanan-Instan","Home Vermicelli Soun Longkou 500G","Rp 16.200",""
"1705465253-66","https://www.klikindomaret.com/category/Makanan-Instan","Home Vermicelli Soun Longkou 50G","Rp 1.900",""
"1705465253-67","https://www.klikindomaret.com/category/Makanan-Instan","Indomaret Abon Sapi 100G","Rp 14.500",""
"1705465253-68","https://www.klikindomaret.com/category/Makanan-Instan","Indomaret Bihun Beras 220G","Rp 9.600",""
"1705465253-69","https://www.klikindomaret.com/category/Makanan-Instan","Indomaret Instant Cup Noodle Ayam Pedas 90G","Rp 7.900",""
"1705465253-70","https://www.klikindomaret.com/category/Makanan-Instan","Indomaret Mi Goreng Ala Indonesia 88G","Rp 7.900",""
"1705465253-71","https://www.klikindomaret.com/category/Makanan-Instan","Indomaret Mi Goreng Pedas 92G","Rp 7.900",""
"1705465253-72","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Ayam Bawang 69G","Rp 3.100",""
"1705465253-73","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Ayam Special 68G","Rp 3.000",""
"1705465253-74","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Goreng Aceh 90G","Rp 3.100",""
"1705465253-75","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Goreng Ayam Geprek 85G","Rp 3.100",""
"1705465253-76","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Goreng Jumbo Ayam Panggang 128G","Rp 4.100",""
"1705465253-77","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Goreng Jumbo Special 129G","Rp 4.100",""
"1705465253-78","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Goreng Plus Special 80g","Rp 3.100",""
"1705465253-79","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Goreng Rendang 91G","Rp 3.100",""
"1705465253-80","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Goreng Rica Rica 85G","Rp 3.100",""
"1705465253-81","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Hype Seblak Hot Jeletot 75G","Rp 3.100",""
"1705465253-82","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Kaldu Ayam 65G","Rp 2.900",""
"1705465253-83","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Kari Ayam 72G","Rp 3.100",""
"1705465253-84","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Keriting Ayam Panggang 90G","Rp 4.500",""
